City,Lat,Lng
Tucson|Arizona|United States,32.23,-110.96
Columbia|Missouri|United States,38.94,-92.33
Bellevue|Washington|United States,47.64,-122.2
Coventry|England|United Kingdom,52.39,-1.49
Pune|Maharashtra|India,18.54,73.8
Olympia|Washington|United States,47.04,-122.9
Swansea|Wales|United Kingdom,51.62,-3.98
Middle Township|New Jersey|United States,39.06,-74.77
City of Albany|New York|United States,42.65,-73.75
Giza|Giza|Egypt,30.04,31.22
Roxbury Township|New Jersey|United States,40.87,-74.69
Fairbanks|Alaska|United States,64.84,-147.71
Boston|Massachusetts|United States,42.35,-71.08
Mogadishu|Banaadir|Somalia,2.03,45.31
Santa Cruz|California|United States,36.97,-122.03
Basel|Basel-City|Switzerland,47.55,7.58
Sejong|@|South Korea,36.51,127.26
Tenri|@|Japan,34.6,135.84
Karlsruhe|Baden-Württemberg|Germany,49.01,8.4
Oklahoma City|Oklahoma|United States,35.41,-97.39
Prague|Prague|Czechia,50.07,14.46
South Hams|England|United Kingdom,50.46,-3.95
Yangon|Yangon|Myanmar,16.8,96.13
St. Catharines|Ontario|Canada,43.12,-79.25
Amsterdam|North Holland|Netherlands,52.36,4.95
Lower Merion Township|Pennsylvania|United States,40.01,-75.22
San Francisco|California|United States,37.8,-122.4
Yokosuka|@|Japan,35.26,139.72
"Bahir Dar City, Amhara, Ethiopia|Amhara Region|Ethiopia",11.6,37.4
São Mamede de Infesta|@|Portugal,41.19,-8.6
Monterey|California|United States,36.6,-121.9
Taipei|Taipei|Taiwan,25.02,121.55
Tallahassee|Florida|United States,30.45,-84.34
Zhengzhou|Henan|China,34.83,113.55
Lewiston|Maine|United States,44.11,-70.2
Mendoza|Mendoza|Argentina,-32.89,-68.84
Kaohsiung|@|Taiwan,22.73,120.31
Chaohu City|Anhui|China,31.62,117.89
Bordeaux|New Aquitaine|France,44.83,-0.61
Brighton|England|United Kingdom,50.83,-0.13
Waterloo|Iowa|United States,42.53,-92.34
Hanoi|@|Vietnam,21.0,105.81
Kyiv|@|Ukraine,50.35,30.48
Chuo|@|Japan,35.68,139.77
Asmara|Maekel Region|Eritrea,15.34,38.93
Ube|@|Japan,33.96,131.19
Abomey-Calavi|Atlantique Department|Benin,6.42,2.33
Candaroğulları Mahallesi|@|Turkey,41.42,33.77
Fremont|California|United States,37.48,-121.93
Nashville|Tennessee|United States,36.17,-86.81
Cedar Falls|Iowa|United States,42.51,-92.46
Thanh Hóa|Thanh Hoa province|Vietnam,19.8,105.79
Oslo|@|Norway,59.95,10.73
Sousse|Sousse|Tunisia,35.84,10.61
Quezon City|@|Philippines,14.66,121.06
Addis Ababa|Addis Ababa|Ethiopia,8.99,38.77
Norfolk|Virginia|United States,36.86,-76.3
Moscow|Moscow|Russia,55.83,37.54
Tbilisi|@|Georgia,41.71,44.79
Randolph Township|New Jersey|United States,40.86,-74.58
Wirral|England|United Kingdom,53.39,-3.02
Sharjah|Sharjah Emirate|United Arab Emirates,25.31,55.49
Bhimavaram|Andhra Pradesh|India,16.55,81.52
Okayama|@|Japan,34.67,133.92
Cherwell District|England|United Kingdom,52.05,-1.34
Riffa|Southern Governorate|Bahrain,26.16,50.55
Castlegar|British Columbia|Canada,49.31,-117.65
Le Grand-Saconnex|Geneva|Switzerland,46.23,6.13
Madrid|Community of Madrid|Spain,40.42,-3.71
La Crosse|Wisconsin|United States,43.82,-91.23
Heidelberg|Baden-Württemberg|Germany,49.42,8.74
San Juan|Puerto Rico|United States,18.45,-66.07
Chesapeake|Virginia|United States,36.75,-76.25
Albuquerque|New Mexico|United States,35.08,-106.59
Ghaziabad|Uttar Pradesh|India,28.67,77.43
Gold Coast|Queensland|Australia,-28.07,153.38
Trondheim|@|Norway,63.42,10.41
Ephraim|Utah|United States,39.36,-111.58
Toronto|Ontario|Canada,43.67,-79.38
Hyderabad|Telangana|India,17.4,78.44
Arlington|Texas|United States,32.75,-97.07
Watford|England|United Kingdom,51.66,-0.41
Hong Kong Island|Hong Kong|China,22.25,114.17
Davenport|Iowa|United States,41.53,-90.57
Riyadh|Riyadh Region|Saudi Arabia,24.69,46.71
Vista|California|United States,33.15,-117.23
Odessa|Texas|United States,31.87,-102.38
Budapest|@|Hungary,47.49,19.08
Newcastle upon Tyne|England|United Kingdom,54.97,-1.62
Delhi|Delhi|India,28.65,77.24
Little Rock|Arkansas|United States,34.75,-92.32
Canberra|@|Australia,-35.28,149.13
Recife|Pernambuco|Brazil,-8.05,-34.95
Everett|Washington|United States,47.93,-122.27
San Antonio|Texas|United States,29.47,-98.71
Izmir|@|Turkey,38.43,27.14
Bishkek|@|Kyrgyzstan,42.88,74.6
Lyon|Auvergne-Rhône-Alpes|France,45.75,4.85
Erode|Tamil Nadu|India,11.34,77.72
Roanoke|Virginia|United States,37.26,-79.94
Lismore|New South Wales|Australia,-28.81,153.29
Cambridge|England|United Kingdom,52.21,0.11
Kyoto|@|Japan,35.03,135.76
Wuhan|Hubei|China,30.65,114.58
Singapore|@|Singapore,1.38,103.86
Brescia|Lombardy|Italy,45.54,10.22
Clearwater|Florida|United States,27.91,-82.69
Chiyoda|@|Japan,35.69,139.74
Warsaw|Masovian Voivodeship|Poland,52.24,21.01
Allschwil|Basel-Landschaft|Switzerland,47.56,7.55
Waltham|Massachusetts|United States,42.4,-71.26
Bengaluru|Karnataka|India,12.96,77.51
Shijiazhuang City|Hebei|China,38.05,114.54
Grozny|Chechen Republic|Russia,43.31,45.7
Jena|Thuringia|Germany,50.91,11.57
Kunming|Yunnan|China,25.06,102.7
Vijayapura|Karnataka|India,16.85,75.71
Atlanta|Georgia|United States,33.76,-84.39
Tsu|@|Japan,34.76,136.49
Rahimyar Khan|Punjab|Pakistan,28.42,70.32
Bagnolet|Ile-de-France|France,48.87,2.42
Mandsaur|Madhya Pradesh|India,24.07,75.07
Guiyang|Guizhou|China,26.38,106.64
Charleroi|Hainaut|Belgium,50.45,4.45
Norwalk|Connecticut|United States,41.14,-73.43
Oshawa|Ontario|Canada,43.87,-78.89
Kamloops|British Columbia|Canada,50.67,-120.37
Lowell|Massachusetts|United States,42.64,-71.32
Yangpu District|@|China,31.31,121.55
Halifax|Nova Scotia|Canada,44.67,-63.65
New Cairo City|Cairo|Egypt,30.03,31.49
Tianjin|Tianjin|China,39.07,117.19
Istanbul|@|Turkey,41.01,28.96
Ahmedabad|Gujarat|India,23.04,72.57
Laranjeiro e Feijó|@|Portugal,38.66,-9.15
Aurora|Colorado|United States,39.74,-104.84
Hambleton|England|United Kingdom,54.46,-1.18
Ahwaz|Khuzestan Province|Iran,31.32,48.68
Elmira|New York|United States,42.1,-76.82
Richmond|British Columbia|Canada,49.17,-123.12
Somers Point|New Jersey|United States,39.31,-74.59
Parkersburg|West Virginia|United States,39.3,-81.53
Sixth of October City|Giza|Egypt,29.97,30.94
Zagreb|@|Croatia,45.79,15.97
"Newport, Wales|Wales|United Kingdom",51.59,-3.01
Mbhashe Local Municipality|Eastern Cape|South Africa,-32.05,29.06
Dhulikhel|@|Nepal,27.62,85.55
Jerusalem|Jerusalem District|Israel,31.8,35.19
Inukjuak (Village)|Quebec|Canada,58.46,-78.11
Surrey|British Columbia|Canada,49.18,-122.84
Durham|North Carolina|United States,35.92,-78.87
Manchester|England|United Kingdom,53.47,-2.23
Red Deer|Alberta|Canada,52.26,-113.82
Tamm|Baden-Württemberg|Germany,48.94,9.13
Berlin|Berlin|Germany,52.46,13.3
Hamar|@|Norway,60.8,11.08
Pylaia Municipal Unit|Macedonia and Thrace|Greece,40.57,22.99
Chenghua District|Sichuan|China,30.74,104.14
Coalinga|California|United States,36.13,-120.24
Delft|South Holland|Netherlands,52.01,4.36
Muscatine|Iowa|United States,41.42,-91.05
City of London|England|United Kingdom,51.52,-0.08
Víctor Larco Herrera|La Libertad|Peru,-8.13,-79.04
Kolkata|West Bengal|India,22.54,88.35
Mar Mitr|Beirut Governorate|Lebanon,33.89,35.52
Hassan|Karnataka|India,13.0,76.09
Hamburg|@|Germany,53.57,10.0
Bowie|Maryland|United States,38.94,-76.73
Hart|England|United Kingdom,51.3,-0.82
Costa Mesa|California|United States,33.7,-117.92
Irapuato|Guanajuato|Mexico,20.75,-101.33
Reykjavik|@|Iceland,64.13,-21.82
Saint Louis|Missouri|United States,38.63,-90.2
Osijek|@|Croatia,45.56,18.7
Hertsmere|England|United Kingdom,51.65,-0.32
Tupelo|Mississippi|United States,34.26,-88.71
Waukegan|Illinois|United States,42.37,-87.82
Birmingham|Alabama|United States,33.55,-86.84
Dehradun|Uttarakhand|India,30.27,78.08
Savannah|Georgia|United States,32.03,-81.09
Saarbrücken|Saarland|Germany,49.26,7.04
Craiova|@|Romania,44.32,23.8
Manville|New Jersey|United States,40.54,-74.58
Thanjavur|Tamil Nadu|India,10.77,79.13
Chitose|@|Japan,42.79,141.7
Bucharest|@|Romania,44.44,26.1
Towson|Maryland|United States,39.39,-76.62
Milan|Lombardy|Italy,45.51,9.27
Irvine|California|United States,33.65,-117.81
Amman|Amman|Jordan,31.96,35.9
Aurora|Illinois|United States,41.75,-88.35
Panihati|West Bengal|India,22.7,88.38
Taoyuan City|@|Taiwan,24.95,121.23
Oviedo / Uviéu|Asturias|Spain,43.36,-5.85
Alcobendas|Community of Madrid|Spain,40.54,-3.65
Elista|Republic of Kalmykia|Russia,46.31,44.27
Mumbai|@|India,18.99,72.81
Karachi|Sindh|Pakistan,24.88,67.05
Cupertino|California|United States,37.33,-122.03
South San Francisco|California|United States,37.66,-122.4
Mokpo-si|@|South Korea,34.83,126.42
Iskandar Puteri|Johor|Malaysia,1.47,103.59
Bristol Township|Pennsylvania|United States,40.08,-74.9
Richmondshire|England|United Kingdom,54.47,-1.62
Debre Birhan|Amhara Region|Ethiopia,9.66,39.52
Kampala|Central Region|Uganda,0.32,32.59
Manila|@|Philippines,14.62,120.98
Utrecht|Utrecht|Netherlands,52.09,5.1
Ashoknagar Kalyangarh|West Bengal|India,22.84,88.61
Waterbury|Connecticut|United States,41.55,-73.05
Gemeinde Laxenburg|Lower Austria|Austria,48.07,16.36
Yozgat|@|Turkey,39.78,34.8
Pudong|@|China,31.33,121.6
Longview|Washington|United States,46.14,-122.96
Asheville|North Carolina|United States,35.62,-82.57
Makhanda|Eastern Cape|South Africa,-33.3,26.52
Xuhui District|@|China,31.19,121.43
Bangkok|Bangkok|Thailand,13.85,100.56
New Brunswick|New Jersey|United States,40.5,-74.45
Winnipeg|Manitoba|Canada,49.89,-97.14
New London|Connecticut|United States,41.38,-72.1
Providence|Rhode Island|United States,41.83,-71.43
Oxford|England|United Kingdom,51.76,-1.25
Red Bank|New Jersey|United States,40.35,-74.06
Marlborough|Massachusetts|United States,42.35,-71.55
Cebu City|@|Philippines,10.3,123.9
Krasnoyarsk|Krasnoyarsk Krai|Russia,56.0,92.77
Hoover|Alabama|United States,33.37,-86.81
Mersin|@|Turkey,36.8,34.63
Newcastle-Maitland|New South Wales|Australia,-33.02,151.65
Tacoma|Washington|United States,47.25,-122.52
Sarasota|Florida|United States,27.33,-82.58
Potsdam|Brandenburg|Germany,52.38,13.06
Winston-Salem|North Carolina|United States,36.09,-80.24
Barnstable|Massachusetts|United States,41.69,-70.34
Gainesville|Florida|United States,29.64,-82.35
Curitiba|Paraná|Brazil,-25.45,-49.36
Hamamatsu|@|Japan,34.71,137.74
Haidian District|Beijing|China,39.99,116.36
Saguenay|Quebec|Canada,48.42,-71.05
Navi Mumbai|Maharashtra|India,19.03,73.02
Lincoln|Nebraska|United States,40.82,-96.7
Dallas|Texas|United States,32.78,-96.8
Hyderabad|Sindh|Pakistan,25.43,68.38
Milwaukee|Wisconsin|United States,43.04,-87.9
Rabat|@|Morocco,34.0,-6.85
Gemeinde Wieselburg-Land|Lower Austria|Austria,48.13,15.12
Bilbao|Autonomous Community of the Basque Country|Spain,43.27,-2.94
Peshawar|Khyber Pakhtunkhwa|Pakistan,34.02,71.57
Naruto|@|Japan,34.2,134.61
Santa Rosa|California|United States,38.44,-122.7
Origgio|Lombardy|Italy,45.58,9.01
Valinhos|São Paulo|Brazil,-23.01,-47.02
Richmond|Virginia|United States,37.54,-77.43
Carolina|Puerto Rico|United States,18.41,-65.98
Shillong|Meghalaya|India,25.61,91.9
Aarhus|Central Denmark Region|Denmark,56.16,10.19
Dongcheng District|Beijing|China,39.91,116.41
Al Ain|Abu Dhabi Emirate|United Arab Emirates,24.23,55.75
Morristown|Tennessee|United States,36.21,-83.26
Heilbronn|Baden-Württemberg|Germany,49.12,9.21
Osogbo|Osun|Nigeria,7.78,4.55
Aizawl|Mizoram|India,23.74,92.67
London|Ontario|Canada,43.01,-81.26
Ulsan|@|South Korea,35.57,129.31
Burbank|California|United States,34.16,-118.33
Cologne|North Rhine-Westphalia|Germany,50.94,6.96
Ardenais|Centre-Loire Valley|France,46.64,2.34
Annapolis|Maryland|United States,38.89,-76.54
Hutchinson|Kansas|United States,38.07,-97.92
Dearborn|Michigan|United States,42.3,-83.22
West Palm Beach|Florida|United States,26.73,-80.05
Lisbon|@|Portugal,38.76,-9.19
Xicheng District|Beijing|China,39.91,116.36
Belfast|Northern Ireland|United Kingdom,54.59,-5.96
St. John's|Newfoundland and Labrador|Canada,47.58,-52.74
Silver Spring|Maryland|United States,39.0,-77.03
Ljubljana|@|Slovenia,46.07,14.51
Oakland|California|United States,37.81,-122.27
枫林路街道|@|China,31.19,121.45
Obihiro|@|Japan,42.88,143.17
Richmond|California|United States,37.94,-122.36
Saint Petersburg|Saint Petersburg|Russia,59.92,30.32
Hotel Dieu|Beirut Governorate|Lebanon,33.88,35.52
Pasadena|Texas|United States,29.65,-95.12
Pittsfield|Massachusetts|United States,42.46,-73.31
Chaoyang District|Beijing|China,39.97,116.42
City of Troy|New York|United States,42.73,-73.69
Dubuque|Iowa|United States,42.5,-90.68
Whitemarsh Township|Pennsylvania|United States,40.12,-75.26
Iloilo City|@|Philippines,10.71,122.56
Canton|Ohio|United States,40.83,-81.38
Union Township|Pennsylvania|United States,40.43,-76.57
Annecy|Auvergne-Rhône-Alpes|France,45.92,6.16
Moradabad|Uttar Pradesh|India,28.87,78.76
Hsinchu|Taiwan Province|Taiwan,24.8,120.98
Hildesheim|Lower Saxony|Germany,52.13,9.97
Peoria|Illinois|United States,40.71,-89.61
Prešov|Region of Prešov|Slovakia,49.0,21.24
Glasgow|Scotland|United Kingdom,55.86,-4.24
Tehran|@|Iran,35.66,51.47
Tyler|Texas|United States,32.32,-95.25
Upper Merion Township|Pennsylvania|United States,40.1,-75.41
Ogden|Utah|United States,41.23,-112.01
Richardson|Texas|United States,32.97,-96.72
New Haven|Connecticut|United States,41.31,-72.94
Jacksonville|Florida|United States,30.24,-81.55
Alexandria|Virginia|United States,38.81,-77.04
Sendai|@|Japan,38.3,140.87
Austin|Texas|United States,30.28,-97.74
Town of Morrisville|North Carolina|United States,35.87,-78.86
Chiba|@|Japan,35.63,140.11
East Devon|England|United Kingdom,50.67,-3.32
Wonju-si|@|South Korea,37.32,127.98
Norman|Oklahoma|United States,35.23,-97.44
Luxembourg|@|Luxembourg,49.6,6.13
Petaluma|California|United States,38.23,-122.59
Champaign|Illinois|United States,40.11,-88.23
Tromsø|@|Norway,69.59,19.22
Yokohama|@|Japan,35.57,139.55
Kapolei|Hawaii|United States,21.36,-158.06
Huntingdonshire|England|United Kingdom,52.35,-0.26
Kamo|@|Japan,37.67,139.06
Ahmadi|Ahmadi|Kuwait,29.16,48.1
Rio de Janeiro|Rio de Janeiro|Brazil,-22.91,-43.16
Cleveland|Ohio|United States,41.48,-81.61
San Jose del Monte|Bulacan|Philippines,14.82,121.06
Kharkiv|Kharkiv Oblast|Ukraine,50.0,36.23
Virginia Beach|Virginia|United States,36.87,-76.19
Maribor|@|Slovenia,46.56,15.64
Yanta|Shaanxi|China,34.23,108.96
Guelph|Ontario|Canada,43.53,-80.23
Shinjuku|@|Japan,35.69,139.69
Turin|Piemont|Italy,45.06,7.66
Newburgh|New York|United States,41.51,-74.01
Itajubá|Minas Gerais|Brazil,-22.41,-45.45
Jhunjhunu|Rajasthan|India,28.12,75.38
Rochester|New York|United States,43.1,-77.61
Bodø|@|Norway,67.29,14.56
Versailles|Ile-de-France|France,48.8,2.14
Cape Girardeau|Missouri|United States,37.32,-89.53
Eger|@|Hungary,47.9,20.38
Cheongju-si|@|South Korea,36.62,127.48
Pretoria|Gauteng|South Africa,-25.75,28.2
Bangor|Maine|United States,44.83,-68.74
West Des Moines|Iowa|United States,41.6,-93.78
Daegu|@|South Korea,35.85,128.59
Fort Collins|Colorado|United States,40.6,-105.07
Osnabrück|Lower Saxony|Germany,52.27,8.04
Ann Arbor|Michigan|United States,42.24,-83.74
Santiago de Cuba|Santiago de Cuba|Cuba,20.04,-75.82
Oldenburg|Lower Saxony|Germany,53.15,8.2
